,RXCUI,ATC
371,1049108,R02AD01
372,1049108,D08AJ08
373,796407,A06AB06
374,1808553,A08AA11
375,1092378,N02BE01
376,1092378,D04AA32
377,1092378,R06AA02
378,261386,B03AD05
379,261386,B03AA03
380,845988,D10AE01
381,308322,N02BE01
382,308322,D11AX26
383,308322,N06BC01
384,539817,G04BD08
385,796413,A06AB06
386,25190,N05AB02
387,1799230,L04AA24
388,152394,N01AB07
389,796658,A01AD05
390,796658,B01AC06
391,796658,N02BA01
392,796658,D11AX26
393,796658,N06BC01
394,796658,N02BA05
395,314111,N06AX11
396,114260,H05AA02
397,1099316,N06AA01
398,304959,J05AB14
399,309362,B01AC04
400,1666821,N05CD08
401,1232585,N06AX12
402,1357527,D08AJ01
403,1357527,D09AA11
404,1357527,R02AA16
405,1357527,C05AD03
406,1357527,D04AB04
407,1357527,N01BA05
408,1357527,R02AD01
409,211372,B05CX01
410,211372,V04CA02
411,211372,V06DC01
412,1357883,C01CA06
413,1357883,R01AA04
414,1357883,R01AB01
415,1357883,R01BA03
416,1357883,S01FB01
417,1357883,S01GA05
418,1357883,R06AB01
419,1235245,D11AH01
420,1235245,L04AD02
421,1008309,A06AA01
422,1008309,C01CA06
423,1008309,R01AA04
424,1008309,R01AB01
425,1008309,R01BA03
426,1008309,S01FB01
427,1008309,S01GA05
428,221134,A07DA02
429,221134,N02AA02
430,903699,H03AA02
431,1247445,S01HA04
432,1247445,S01JA01
433,1000990,R01AA05
434,1000990,R01AB07
435,1000990,S01GA04
436,1006107,S01AB04
437,1006107,D10AF06
438,477372,G04BD08
439,892556,N02AA01
440,637190,N07BA03
441,197636,A04AD10
442,1665057,C08DA01
443,1658159,J06BB04
444,901550,N04BC05
445,205880,A10BB01
446,1544758,M03CA01
447,1012160,N02BE01
448,1012160,R05DA04
449,1012160,N02AJ06
450,210117,A02AC01
451,210117,A12AA04
452,882533,D10AF01
453,882533,G01AA10
454,882533,J01FF01
455,205876,A10BB01
456,309333,D10AF01
457,309333,G01AA10
458,309333,J01FF01
459,1547941,A03BA03
460,1547941,G04BX12
461,1547941,J01XX05
462,1547941,V03AB17
463,1547941,V04CG05
464,1543006,A09AA01
